"","comparison","Species","p.adj"
"243","7th.0-4vs8th.4-8","brown-headed cowbird",0.486653636340318
"244","8th.0-4vs8th.28-32","brown-headed cowbird",1
"245","8th.0-4vs8th.4-8","brown-headed cowbird",0.288625748207332
"246","8th.4-8vs8th.28-32","brown-headed cowbird",0.288625748207332
"247","7th.0-4vs8th.0-4","brown thrasher",1
"248","7th.0-4vs8th.28-32","brown thrasher",1
"249","7th.0-4vs8th.4-8","brown thrasher",0.31459841410057
"250","8th.0-4vs8th.28-32","brown thrasher",1
"251","8th.0-4vs8th.4-8","brown thrasher",0.31459841410057
"252","8th.4-8vs8th.28-32","brown thrasher",0.31459841410057
"253","7th.0-4vs8th.0-4","blue jay",0.141300757015953
"254","7th.0-4vs8th.28-32","blue jay",0.726399069073512
"255","7th.0-4vs8th.4-8","blue jay",0.141300757015953
"256","8th.0-4vs8th.28-32","blue jay",0.212891503538732
"257","8th.0-4vs8th.4-8","blue jay",0.93497141575846
"258","8th.4-8vs8th.28-32","blue jay",0.212891503538732
"259","7th.0-4vs8th.0-4","black-capped chickadee",1
"260","7th.0-4vs8th.28-32","black-capped chickadee",1
"261","7th.0-4vs8th.4-8","black-capped chickadee",1
"262","8th.0-4vs8th.28-32","black-capped chickadee",1
"263","8th.0-4vs8th.4-8","black-capped chickadee",1
"264","8th.4-8vs8th.28-32","black-capped chickadee",1
"265","7th.0-4vs8th.0-4","barred owl",0.307240993479492
"266","7th.0-4vs8th.28-32","barred owl",0.528074747950192
"267","7th.0-4vs8th.4-8","barred owl",1
"268","8th.0-4vs8th.28-32","barred owl",0.528074747950192
"269","8th.0-4vs8th.4-8","barred owl",0.307240993479492
"270","8th.4-8vs8th.28-32","barred owl",0.528074747950192
"271","7th.0-4vs8th.0-4","baltimore oriole",1
"272","7th.0-4vs8th.28-32","baltimore oriole",1
"273","7th.0-4vs8th.4-8","baltimore oriole",0.31459841410057
"274","8th.0-4vs8th.28-32","baltimore oriole",1
"275","8th.0-4vs8th.4-8","baltimore oriole",0.31459841410057
"276","8th.4-8vs8th.28-32","baltimore oriole",0.31459841410057
"277","7th.0-4vs8th.0-4","american robin",0.0802946312898508
"278","7th.0-4vs8th.28-32","american robin",0.777519202529029
"279","7th.0-4vs8th.4-8","american robin",0.0802946312898508
"280","8th.0-4vs8th.28-32","american robin",0.115171547620518
"281","8th.0-4vs8th.4-8","american robin",0.777519202529029
"282","8th.4-8vs8th.28-32","american robin",0.0802946312898508
"283","7th.0-4vs8th.0-4","american goldfinch",0.0252313344436092
"284","7th.0-4vs8th.28-32","american goldfinch",1
"285","7th.0-4vs8th.4-8","american goldfinch",1
"286","8th.0-4vs8th.28-32","american goldfinch",0.0252313344436092
"287","8th.0-4vs8th.4-8","american goldfinch",0.0252313344436092
"288","8th.4-8vs8th.28-32","american goldfinch",1
"289","7th.0-4vs8th.0-4","american crow",0.328566589956416
"290","7th.0-4vs8th.28-32","american crow",0.614288066446483
"291","7th.0-4vs8th.4-8","american crow",0.614288066446483
"292","8th.0-4vs8th.28-32","american crow",0.446411984718152
"293","8th.0-4vs8th.4-8","american crow",0.446411984718152
"294","8th.4-8vs8th.28-32","american crow",0.96263439348305
"295","7th.0-4vs8th.0-4","eastern phoebe",NA
"296","7th.0-4vs8th.28-32","eastern phoebe",NA
"297","7th.0-4vs8th.4-8","eastern phoebe",NA
"298","8th.0-4vs8th.28-32","eastern phoebe",NA
"299","8th.0-4vs8th.4-8","eastern phoebe",NA
"300","8th.4-8vs8th.28-32","eastern phoebe",NA
"301","7th.0-4vs8th.0-4","northern rough-winged swallow",NA
"302","7th.0-4vs8th.28-32","northern rough-winged swallow",NA
"303","7th.0-4vs8th.4-8","northern rough-winged swallow",NA
"304","8th.0-4vs8th.28-32","northern rough-winged swallow",NA
"305","8th.0-4vs8th.4-8","northern rough-winged swallow",NA
"306","8th.4-8vs8th.28-32","northern rough-winged swallow",NA
"307","7th.0-4vs8th.0-4","pine siskin",NA
"308","7th.0-4vs8th.28-32","pine siskin",NA
"309","7th.0-4vs8th.4-8","pine siskin",NA
"310","8th.0-4vs8th.28-32","pine siskin",NA
"311","8th.0-4vs8th.4-8","pine siskin",NA
"312","8th.4-8vs8th.28-32","pine siskin",NA
